gt,gemma_3n_it_agent_0,gpt-4o-mini_agent_0,llama-3.1-8b-chat_agent_0,mistral-7b_agent_0
A,C,A,A,C
C,D,B,D,D
C,C,C,C,C
E,E,D,C,E
E,D,B,B,D
C,C,C,C,C
E,A,E,E,C
C,C,E,C,E
D,A,D,D,D
D,A,D,A,B
C,D,C,C,D
B,B,B,A,B
B,B,B,B,E
C,C,C,C,C
B,E,B,B,B
E,A,A,A,E
A,B,C,E,B
C,C,C,C,C
B,B,E,B,E
E,C,E,E,C
A,C,E,E,E
E,E,D,E,E
D,D,D,C,D
D,C,E,E,E
C,C,A,D,A
E,A,C,E,A
E,A,E,B,B
A,A,A,A,A
B,C,C,B,E
A,E,A,A,E
A,A,A,A,D
E,E,E,E,E
D,D,B,D,D
B,B,B,B,B
E,A,C,D,A
B,B,B,B,B
D,D,D,D,A
C,C,C,C,C
E,E,E,D,C
C,B,A,C,B
A,A,A,A,A
D,D,D,D,D
D,E,E,E,D
C,B,B,D,B
E,C,E,E,C
E,A,E,E,E
A,A,A,A,A
D,D,D,D,D
E,E,E,E,E
B,B,B,D,D
D,D,B,C,B
C,C,C,C,C
D,D,D,D,B
A,A,A,C,A
B,A,D,C,C
A,A,A,E,E
E,E,B,E,B
D,A,E,N,D
B,E,B,B,B
C,D,C,C,C
C,C,C,C,C
A,A,A,A,C
A,E,E,E,E
D,D,D,D,D
C,C,D,A,D
A,A,A,A,A
D,E,A,E,D
E,E,E,E,E
B,B,B,B,B
B,E,B,E,D
B,B,B,B,C
D,B,E,A,A
A,B,A,A,D
D,A,A,D,A
C,C,C,C,C
D,B,C,D,E
D,A,D,D,D
E,C,D,E,C
B,C,B,B,B
A,A,A,A,D
A,A,E,A,N
E,E,E,E,D
B,E,E,C,D
B,D,E,D,E
B,B,B,B,B
B,A,B,E,C
C,C,C,B,C
C,B,C,C,B
B,B,C,E,E
A,B,B,E,B
C,C,C,C,C
D,D,C,D,C
B,B,B,B,B
A,B,D,D,B
B,C,C,C,C
A,C,A,C,D
E,E,E,E,C
B,B,B,B,B
D,D,D,D,D
B,B,B,B,E
E,E,E,E,E
E,E,E,E,E
C,C,C,C,C
B,A,B,B,B
A,A,A,A,A
D,C,D,E,E
C,C,C,C,C
E,A,C,E,C
B,D,B,D,E
C,C,C,C,C
A,A,A,A,B
E,E,E,E,D
E,E,E,E,D
E,D,E,E,E
A,N,A,B,C
A,A,A,A,A
C,B,B,C,B
A,A,A,A,D
A,A,A,A,C
E,E,E,E,D
A,B,A,B,B
A,A,A,A,A
A,B,B,D,B
C,C,C,C,B
C,B,C,C,D
B,E,B,B,E
C,C,C,C,C
E,B,B,B,D
E,C,E,E,E
B,A,A,B,E
D,D,D,D,D
C,C,C,C,C
A,C,C,C,C
A,A,A,A,A
A,A,A,A,A
D,E,D,B,D
C,C,C,C,C
B,B,B,D,B
A,B,B,B,C
A,D,A,A,B
C,B,B,B,E
B,B,B,B,B
C,C,C,C,C
C,B,E,E,B
D,D,D,D,D
E,E,E,E,E
A,A,A,A,B
D,D,D,B,B
A,E,A,A,A
B,B,B,B,B
B,B,B,B,D
B,E,A,A,D
D,D,D,D,C
D,B,D,D,B
D,D,D,D,D
B,C,B,A,B
D,D,D,D,D
B,B,B,B,D
B,D,D,B,C
D,C,D,D,D
A,D,B,A,A
A,A,A,A,B
C,C,C,A,C
B,B,C,E,C
A,C,C,E,C
A,E,A,A,C
A,D,A,D,D
A,A,A,A,A
C,C,C,C,C
B,B,B,B,B
E,E,C,D,E
C,B,C,C,B
A,A,A,A,A
A,B,B,B,A
E,E,E,E,E
E,E,E,E,E
A,B,B,E,E
C,C,C,C,B
E,E,E,E,E
A,D,A,D,A
C,A,E,E,C
B,A,B,C,B
B,C,C,E,C
C,C,C,C,C
A,C,A,A,E
A,A,A,A,A
B,B,C,C,E
A,E,A,A,A
C,C,C,B,E
D,A,D,D,D
A,A,A,A,A
D,D,D,D,E
A,E,A,B,E
E,E,E,C,E
C,A,E,E,A
E,B,E,A,B
D,A,D,D,C
C,C,C,C,C
C,D,D,D,B
B,E,A,B,A
B,B,B,B,B
C,E,C,C,E
B,B,B,B,C
E,E,E,E,E
B,B,B,B,C
D,D,D,D,A
B,B,B,B,C
C,C,B,E,D
D,A,A,D,A
A,B,A,A,D
E,E,C,C,E
B,C,C,E,B
E,C,E,E,E
D,A,D,D,D
D,D,D,C,D
C,C,C,C,A
E,E,E,A,E
B,B,B,C,E
E,C,C,E,E
D,D,D,C,B
C,C,C,C,D
D,D,C,D,B
C,C,C,C,C
A,E,E,E,E
E,E,E,E,E
D,A,D,A,D
E,E,E,D,D
D,D,D,D,D
E,E,E,E,A
A,A,A,A,A
A,A,A,A,A
D,D,D,C,D
D,D,D,D,C
C,B,B,B,C
B,B,B,B,E
B,A,A,A,C
B,C,E,B,C
C,A,A,A,E
D,A,A,D,A
D,C,D,D,B
C,E,A,C,A
E,C,E,E,C
E,C,C,C,C
A,B,A,A,E
B,B,B,B,A
D,D,D,E,D
A,A,A,A,D
B,B,B,B,E
B,A,B,N,C
B,B,B,B,B
B,B,B,B,B
A,A,E,D,A
E,E,E,A,E
A,E,A,E,C
B,B,E,E,C
A,A,A,A,E
D,D,D,D,B
D,A,D,D,A
A,B,E,A,C
C,A,D,D,D
C,C,C,C,B
A,E,A,A,B
E,A,E,E,E
A,A,A,A,C
B,E,E,E,E
B,B,B,B,B
A,A,A,A,B
A,C,A,A,A
A,D,A,A,D
E,E,E,E,E
D,D,D,D,C
D,C,D,D,D
E,E,E,E,E
B,C,C,C,C
C,E,C,C,D
B,B,B,D,A
B,E,B,N,C
D,D,D,C,C
A,A,A,D,D
E,B,D,D,D
B,B,B,B,B
E,D,D,D,E
E,C,C,E,C
C,C,C,C,C
E,D,B,B,D
C,C,C,C,C
D,E,E,E,E
A,C,C,C,A
E,E,E,E,D
B,E,A,B,E
D,D,B,D,D
B,E,B,B,B
D,D,D,D,D
E,A,E,E,E
C,C,C,C,C
D,D,D,D,D
D,D,D,D,E
C,B,C,B,D
D,A,D,D,D
B,E,B,B,B
